5	11
index	alt	dummy	Kzz	Tgas	CO2	N2	O2	CH4	H2	CO	SO2	H2S	NH3	H2O	M
1	1	902.21929	1.00E+05	293.0541662	1.798E+19	4.513E+18	2.256E+11	2.256E+14	1.000E+05	2.256E+15	3.500E+04	3.500E+03	4.446E+04	6.769E+16	2.256E+19
2	2	797.63786	1.00E+05	286.1083323	1.584E+19	3.974E+18	1.987E+11	1.987E+14	8.807E+04	1.987E+15	3.082E+04	3.082E+03	3.915E+04	5.961E+16	1.987E+19
3	3	703.47653	1.00E+05	279.1624985	1.386E+19	3.479E+18	1.739E+11	1.739E+14	7.708E+04	1.739E+15	2.698E+04	2.698E+03	3.427E+04	5.218E+16	1.739E+19
4	4	618.19355	1.00E+05	272.2166646	1.205E+19	3.025E+18	1.512E+11	1.512E+14	6.702E+04	1.512E+15	2.346E+04	2.346E+03	2.980E+04	4.537E+16	1.512E+19
5	5	541.80886	1.00E+05	265.2708308	1.040E+19	2.611E+18	1.306E+11	1.306E+14	5.786E+04	1.306E+15	2.025E+04	2.025E+03	2.572E+04	3.917E+16	1.306E+19
6	6	472.9644	1.00E+05	258.3249969	8.914E+18	2.237E+18	1.119E+11	1.119E+14	4.958E+04	1.119E+15	1.735E+04	1.735E+03	2.204E+04	3.356E+16	1.119E+19
7	7	411.18493	1.00E+05	251.3791631	7.575E+18	1.901E+18	9.506E+10	9.506E+13	4.213E+04	9.506E+14	1.474E+04	1.474E+03	1.873E+04	2.852E+16	9.506E+18
8	8	356.01878	1.00E+05	244.4333293	6.379E+18	1.601E+18	8.005E+10	8.005E+13	3.548E+04	8.005E+14	1.242E+04	1.242E+03	1.577E+04	2.402E+16	8.005E+18
9	9	305.89279	8.94E+04	237.4874954	5.321E+18	1.335E+18	6.677E+10	6.677E+13	2.959E+04	6.677E+14	1.036E+04	1.036E+03	1.316E+04	2.003E+16	6.677E+18
10	10	260.87291	4.90E+04	230.5416616	4.391E+18	1.102E+18	5.511E+10	5.511E+13	2.442E+04	5.511E+14	8.548E+03	8.548E+02	1.086E+04	1.653E+16	5.511E+18
11	11	222.53259	2.26E+04	223.5958277	3.583E+18	8.992E+17	4.496E+10	4.496E+13	1.993E+04	4.496E+14	6.974E+03	6.974E+02	8.859E+03	1.349E+16	4.496E+18
12	12	190.59133	1.17E+04	216.6499939	3.057E+18	7.672E+17	3.836E+10	3.836E+13	1.700E+04	3.836E+14	5.950E+03	5.950E+02	7.558E+03	1.151E+16	3.836E+18
13	13	161.12042	6.81E+03	216.6499939	2.611E+18	6.553E+17	3.276E+10	3.276E+13	1.452E+04	3.276E+14	5.082E+03	5.082E+02	6.455E+03	9.829E+15	3.276E+18
14	14	136.30518	5.17E+03	216.6499939	2.230E+18	5.596E+17	2.798E+10	2.798E+13	1.240E+04	2.798E+14	4.340E+03	4.340E+02	5.513E+03	8.394E+15	2.798E+18
15	15	115.65243	4.29E+03	216.6499939	1.904E+18	4.779E+17	2.390E+10	2.390E+13	1.059E+04	2.390E+14	3.707E+03	3.707E+02	4.708E+03	7.169E+15	2.390E+18
16	16	98.66364	3.95E+03	216.6499939	1.626E+18	4.082E+17	2.041E+10	2.041E+13	9.045E+03	2.041E+14	3.166E+03	3.166E+02	4.021E+03	6.123E+15	2.041E+18
17	17	84.09121	3.90E+03	216.6499939	1.389E+18	3.486E+17	1.743E+10	1.743E+13	7.725E+03	1.743E+14	2.704E+03	2.704E+02	3.434E+03	5.229E+15	1.743E+18
